	Leírás		
Név	Alap	Haladó	Mester
Terepismeret	"{Alap Terepismeret}

Az Alap Terepismeret kedvezõtlen terepen való haladáskor 25%-kal csökkenti a hõs lépésarányát."	"{Haladó Terepismeret}

A Haladó Terepismeret kedvezõtlen terepen való haladáskor 50%-kal csökkenti a hõs lépésarányát."	"{Mester Terepismeret}

A Mester Terepismeret kedvezõtlen terepen való haladáskor 75%-kal csökkenti a hõs lépésarányát."
Íjászat	"{Alap Íjászat}

Az Alap Íjászat a távolra támadó lények sebzését növeli meg 10%-kal."	"{Haladó Íjászat}

A Haladó Íjászat a távolra támadó lények sebzését növeli meg 25%-kal."	"{Mester Íjászat}

A Mester Íjászat a távolra támadó lények sebzését növeli meg 50%-kal."
Logisztika	"{Alap Logisztika}

Az Alap Logisztika megnöveli a hõs mozgáspontját a szárazföldön 5%-kal."	"{Haladó Logisztika}

A Haladó Logisztika megnöveli a hõs mozgáspontját a szárazföldön 10%-kal."	"{Mester Logisztika}

A Mester Logisztika megnöveli a hõs mozgáspontját a szárazföldön 20%-kal."
Felderítés	"{Alap Felderítés}

Az Alap Felderítés +1 sugarú körrel többet fed föl a Kaland Térképen.	"{Haladó Felderítés}

A Haladó Felderítés +2 sugarú körrel többet fed föl a Kaland Térképen."	"{Mester Felderítés}

A Mester Felderítés +5 sugarú körrel többet fed föl a Kaland Térképen."
Diplomácia	"{Alap Diplomácia}

Az Alap Diplomácia lehetõséget ad a hõsnek, hogy túlerõben lévõ csapataival az ellenséges lényeket maga mellé állítsa, ezen felül csökkenti a Megadás költségét 20%-kal."	"{Haladó Diplomácia}

A Haladó Diplomácia lehetõséget ad a hõsnek, hogy túlerõben lévõ csapataival az ellenséges lényeket maga mellé állítsa, ezen felül csökkenti a Megadás költségét 40%-kal."	"{Mester Diplomácia}

A Mester Diplomácia lehetõséget ad a hõsnek, hogy túlerõben lévõ csapataival az ellenséges lényeket maga mellé állítsa, ezen felül csökkenti a Megadás költségét 60%-kal."
Tengerészet  	"{Alap Tengerészet}

Az Alap Tengerészet tengeri utazás során 50%-kal több mozgáspontot ad a hõsnek."	"{Haladó Tengerészet}

A Haladó Tengerészet tengeri utazás során megduplázza a hõs mozgáspontjait."	"{Mester Tengerészet}

A Mester Tengerészet tengeri utazás során 150%-kal több mozgáspontot ad a hõsnek."
Vezetés	"{Alap Vezetés}

Az Alap Vezetés növeli a hõsöd katonáinak hangulatát +1-gyel."	"{Haladó Vezetés}

A Haladó Vezetés növeli a hõsöd katonáinak hangulatát +2-vel."	"{Mester Vezetés}

A Mester Vezetés növeli a hõsöd katonáinak hangulatát +3-mal."
Bölcsesség	"{Alap Bölcsesség}

Az Alap Bölcsesség lehetõséget biztosít a hõsöd számára, hogy megtanulja a harmadik szintû varázslatokat."	"{Haladó Bölcsesség}

A Haladó Bölcsesség lehetõséget biztosít a hõsöd számára, hogy megtanulja a negyedik szintû varázslatokat."	"{Mester Bölcsesség}

A Mester Bölcsesség lehetõséget biztosít a hõsöd számára, hogy megtanulja az ötödik szintû varázslatokat."
Miszticizmus	"{Alap Miszticizmus}

Az Alap Miszticizmussal hõsödnek naponta 5-tel növekszik a varázspontja."	"{Haladó Miszticizmus}

A Haladó Miszticizmussal hõsödnek naponta 10-zel növekszik a varázspontja."	"{Mester Miszticizmus}

A Mester Miszticizmussal hõsödnek naponta 15-tel növekszik a varázspontja."
Szerencse	"{Alap Szerencse}

Az Alap Szerencse növeli a hõsöd szerencséjét +1-gyel."	"{Haladó Szerencse}

A Haladó Szerencse növeli a hõsöd szerencséjét +2-vel."	"{Mester Szerencse}

A Mester Szerencse növeli a hõsöd szerencséjét +3-mal."
Ballisztika	"{Alap Ballisztika}

Az Alap Ballisztikával a hõsünk kezelni tudja az ostromgépet, körönkénti egy lövésre biztosít lehetõséget."	"{Haladó Ballisztikával}

A Haladó Ballisztikával a hõsünk kezelni tudja az ostromgépet, körönkénti két lövésre biztosít lehetõséget."	"{Mester Ballisztika}

A Mester Ballisztikával körönként két lövésre van lehetõsége a hõsünknek, maximalizált ütõerõvel."
Sasszem	"{Alap Sasszem}

Az Alap Sasszem 40%-kal nagyobb esélyt biztosít arra, hogy hõsünk megtanulja azokat az elsõ és második szintû varázslatokat, amiket a csata során az ellenfél használt."	"{Haladó Sasszem}

A Haladó Sasszem 50%-kal nagyobb esélyt biztosít arra, hogy hõsünk megtanulja azokat az elsõ, második és harmadik szintû varázslatokat, amiket a csata során az ellenfél használt."	"{Mester Sasszem}

A Mester Sasszem 60%-kal nagyobb esélyt biztosít arra, hogy hõsünk megtanulja az összes negyedik szintnél nem nagyobb varázslatokat, amiket a csata során az ellenfél használt."
Nekromancia	"{Alap Nekromancia}

Az Alap Nekromanciával a csata során megölt lények 5%-át fel tudjuk támasztani, Csontvázak formájában."	"{Haladó Nekromancia}

A Haladó Nekromanciával a csata során megölt lények 10%-át fel tudjuk támasztani, Csontvázak formájában."	"{Mester Nekromancia}

A Mester Nekromanciával a csata során megölt lények 30%-át fel tudjuk támasztani, Csontvázak formájában."
Gazdagság	"{Alap Gazdagság}

Az Alap Gazdagság birodalmadat napi 250 arannyal látja el."	"{Haladó Gazdagság}

A Haladó Gazdagság birodalmadat napi 500 arannyal látja el."	"{Mester Gazdagság}

A Mester Gazdagság birodalmadat napi 1000 arannyal látja el."
Tûz Mágia	"{Alap Tûz Mágia}

Az Alap Tûz Mágiának köszönhetõen hõsödnek a Tûz varázslatokhoz kevesebb varázspontot kell felhasználnia."	"{Haladó Tûz Mágia}

A Haladó Tûz Mágiának köszönhetõen hõsödnek a Tûz varázslatokhoz még kevesebb varázspontot kell felhasználnia."	"{Mester Tûz Mágia}

A Mester Tûz Mágiának köszönhetõen hõsödnek a Tûz varázslatokhoz minimális varázspontot kell felhasználnia."
Levegõ Mágia	"{Alap Levegõ Mágia}

Az Alap Levegõ Mágiának köszönhetõen hõsödnek a Levegõ varázslatokhoz kevesebb varázspontot kell felhasználnia."	"{Haladó Levegõ Mágia}

A Haladó Levegõ Mágiának köszönhetõen hõsödnek a Levegõ varázslatokhoz még kevesebb varázspontot kell felhasználnia."	"{Mester Levegõ Mágia}

A Mester Levegõ Mágiának köszönhetõen hõsödnek a Levegõ varázslatokhoz minimális varázspontot kell felhasználnia."
Víz Mágia	"{Alap Víz Mágia}

Az Alap Víz Mágiának köszönhetõen hõsödnek a Víz varázslatokhoz kevesebb varázspontot kell felhasználnia."	"{Haladó Víz Mágia}

A Haladó Víz Mágiának köszönhetõen hõsödnek a Víz varázslatokhoz még kevesebb varázspontot kell felhasználnia."	"{Mester Víz Mágia}

A Mester Víz Mágiának köszönhetõen hõsödnek a Víz varázslatokhoz minimális varázspontot kell felhasználnia."
