	Description		
Name	Basic	Advanced	Expert
Pathfinding	"{Basic Pathfinding}

Basic Pathfinding reduces the movement penalty for rough terrain lowering ordinary step cost by 25 movement points down to the minimum at 95 points."	"{Advanced Pathfinding}

Advanced Pathfinding reduces the movement penalty for rough terrain lowering ordinary step cost by 50 movement points down to the minimum at 90 points."	"{Expert Pathfinding}

Expert Pathfinding removes the movement penalty for rough terrain lowering ordinary step cost by 75 movement points down to the minimum at 85 points."
Archery	"{Basic Archery}

Basic Archery increases the damage done by range attacking creatures by 10%."	"{Advanced Archery}

Advanced Archery increases the damage done by range attacking creatures by 25%."	"{Expert Archery}

Expert Archery increases the damage done by range attacking creatures by 50%."
Logistics	"{Basic Logistics}

Basic Logistics increases your hero's movement points over land by 5%."	"{Advanced Logistics}

Advanced Logistics increases your hero's movement points over land by 10%."	"{Expert Logistics}

Expert Logistics increases your hero's movement points over land by 20%."
Scouting	"{Basic Scouting}

Basic Scouting allows your hero to see 1 square further into the shroud."	"{Advanced Scouting}

Advanced Scouting allows your hero to see 3 squares further into the shroud."	"{Expert Scouting}

Expert Scouting allows your hero to see 5 squares further into the shroud."
Diplomacy	"{Basic Diplomacy}

Basic Diplomacy allows you to negotiate with monsters who are weaker than your group, and reduces the cost of surrendering by 20%."	"{Advanced Diplomacy}

Advanced Diplomacy allows you to negotiate with monsters who are weaker than your group, and reduces the cost of surrendering by 40%."	"{Expert Diplomacy}

Expert Diplomacy allows you to negotiate with monsters who are weaker than your group, and reduces the cost of surrendering by 60%."
Navigation	"{Basic Navigation}

Basic Navigation increases your hero's movement points at sea by 50%."	"{Advanced Navigation}

Advanced Navigation doubles your hero's movement points at sea."	"{Expert Navigation}

Expert Navigation increases your hero's movement points at sea by 150%."
Leadership	"{Basic Leadership}

Basic Leadership increases your hero's troops' morale by 1."	"{Advanced Leadership}

Advanced Leadership increases your hero's troops' morale by 2."	"{Expert Leadership}

Expert Leadership increases your hero's troops' morale by 3."
Wisdom	"{Basic Wisdom}

Basic Wisdom allows your hero to learn third level spells."	"{Advanced Wisdom}

Advanced Wisdom allows your hero to learn fourth level spells."	"{Expert Wisdom}

Expert Wisdom allows your hero to learn fifth level spells."
Mysticism	"{Basic Mysticism}

Basic Mysticism regenerates 10% of hero maximum spell points per day, at minimum 5 points per day."	"{Advanced Mysticism}

Advanced Mysticism regenerates 20% of hero maximum spell points per day, at minimum 10 points per day."	"{Expert Mysticism}

Expert Mysticism regenerates 30% of hero maximum spell points per day, at minimum 15 points per day."
Luck	"{Basic Luck}

Basic Luck increases your hero's luck by 1."	"{Advanced Luck}

Advanced Luck increases your hero's luck by 2."	"{Expert Luck}

Expert Luck increases your hero's luck by 3."
Ballistics	"{Basic Ballistics}

Basic Ballistics gives control of the catapult to the hero, allowing aimed shots with increased hit chance. Protects catapult, preventing over 40% of hit points loss from a single hit."	"{Advanced Ballistics}

Advanced Ballistics gives control of the catapult to the hero, allowing two aimed shots with increased hit chance. Protects catapult, preventing over 40% of hit points loss from a single hit."	"{Expert Ballistics}

Expert Ballistics gives control of the catapult to the hero, allowing two precise shots at maximum damage. Protects catapult, preventing over 40% of hit points loss from a single hit."
Eagle Eye	"{Basic Eagle Eye}

Basic Eagle Eye allows viewing enemy spells level 1 to 3 in combat and gives your hero a 40% chance to learn any spell up to 3rd level from enemy hero before the beginning of the combat, as well as at the spell usage. Blocks one level of enemy's Eagle Eye."	"{Advanced Eagle Eye}

Advanced Eagle Eye allows viewing enemy spells level 1 to 4 in combat and gives your hero a 50% chance to learn any spell up to 4th level from enemy hero before the beginning of the combat, as well as at the spell usage. Blocks two levels of enemy's Eagle Eye."	"{Expert Eagle Eye}

Expert Eagle Eye allows viewing all enemy spells in combat and gives your hero a 60% chance to learn any spell from enemy hero before the beginning of the combat, as well as at the spell usage. Blocks enemy's Eagle Eye skill."
Necromancy	"{Basic Necromancy}

Basic Necromancy allows 5% of the creatures killed in combat to be brought back from the dead as Skeletons."	"{Advanced Necromancy}

Advanced Necromancy allows 10% of the creatures killed in combat to be brought back from the dead as Skeletons."	"{Expert Necromancy}

Expert Necromancy allows 15% of the creatures killed in combat to be brought back from the dead as Skeletons."
